Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 12, 12.99, 14:00:00
Black Beans (side), 21, 3.59, 14:00:00
Black Beans (side), 40, 3.99, 12:00:00
Black Beans (side), 22, 3.99, 15:30:00
Black Beans (side), 61, 3.99, 12:00:00
Black Beans (side), 19, 3.99, 15:30:00
Cheese Pizza - Large (16"), 16, 14.44, 19:00:00
Cheese Pizza - Large (16"), 13, 16.99, 13:00:00
Cheese Pizza - Medium (14"), 6, 13.99, 14:00:00
Cheese Pizza - Small (10"), 18, 9.99, 12:30:00
Cheese Pizza - Small (10"), 12, 9.99, 12:30:00
Chicken Burrito, 20, 10.99, 11:30:00
Chicken Pasta Alfredo, 11, 14.44, 18:30:00
Chicken Pasta Alfredo, 4, 15.29, 15:30:00
Fish and Chips, 17, 14.99, 19:00:00
Fish and Chips, 8, 14.99, 10:00:00
Fish and Chips, 3, 14.99, 14:00:00
Medium Bacon Pizza, 6, 16.99, 14:00:00
Medium Bacon Pizza, 9, 16.99, 18:00:00
Medium Bacon Pizza, 12, 16.99, 12:00:00
Medium Bacon Pizza, 5, 16.99, 10:00:00
Medium Bacon Pizza, 4, 16.99, 17:00:00
Pepperoni Pizza - Medium (14"), 16, 15.99, 13:00:00
Pico de Gallo, 35, 5.99, 12:30:00
Pico de Gallo, 18, 5.99, 11:30:00
Pico de Gallo, 20, 5.99, 14:00:00
Pico de Gallo, 13, 5.99, 10:00:00
Pico de Gallo, 17, 5.99, 10:00:00
