Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 6, 12.99, 15:30:00
Beef Tacos (3-pack), 8, 12.99, 19:00:00
Beef Tacos (3-pack), 7, 11.04, 20:30:00
Beef Tacos (3-pack), 7, 11.69, 18:30:00
Beef Tacos (3-pack), 8, 12.99, 11:30:00
Black Beans (side), 25, 3.99, 14:00:00
Cheese Pizza - Large (16"), 2, 16.99, 14:00:00
Cheese Pizza - Large (16"), 4, 16.99, 14:00:00
Cheese Pizza - Large (16"), 3, 16.99, 15:30:00
Cheese Pizza - Large (16"), 4, 14.44, 12:30:00
Cheese Pizza - Large (16"), 6, 16.99, 11:30:00
Cheese Pizza - Small (10"), 19, 9.99, 12:30:00
Cheese Pizza - Small (10"), 4, 9.99, 20:30:00
Chicken Burrito, 8, 10.99, 13:00:00
Classic Burger, 6, 12.99, 15:30:00
Fish and Chips, 7, 11.99, 18:30:00
Fish and Chips, 13, 14.99, 19:00:00
Fish and Chips, 9, 14.99, 12:00:00
Pepperoni Pizza - Medium (14"), 11, 12.79, 18:30:00
Pepperoni Pizza - Medium (14"), 6, 15.99, 18:00:00
Pepperoni Pizza - Medium (14"), 10, 15.99, 18:00:00
Pepperoni Pizza - Medium (14"), 6, 12.79, 19:30:00
Pico de Gallo, 12, 5.39, 15:30:00
Pico de Gallo, 23, 5.99, 13:00:00
Spanish Rice (side), 26, 3.99, 17:00:00
Spanish Rice (side), 30, 3.99, 12:00:00
Spanish Rice (side), 16, 3.99, 10:00:00
Spanish Rice (side), 40, 3.99, 19:00:00
Spanish Rice (side), 29, 3.99, 15:30:00
Supreme Pizza - Large (16"), 7, 20.99, 18:30:00
Supreme Pizza - Large (16"), 8, 20.99, 18:30:00
Supreme Pizza - Large (16"), 4, 18.89, 14:00:00
Supreme Pizza - Large (16"), 3, 16.79, 10:00:00
Supreme Pizza - Large (16"), 4, 17.84, 11:30:00
