Product, Quantity, Retail_Price, Time
Black Beans (side), 19, 3.99, 19:30:00
Black Beans (side), 47, 3.99, 18:30:00
Cheese Pizza - Large (16"), 2, 16.99, 14:00:00
Cheese Pizza - Medium (14"), 7, 13.99, 12:30:00
Cheese Pizza - Medium (14"), 14, 13.99, 12:30:00
Cheese Pizza - Medium (14"), 5, 13.99, 15:30:00
Chicken Burrito, 18, 10.99, 18:30:00
Chicken Burrito, 4, 10.99, 17:00:00
Chicken Pasta Alfredo, 4, 16.99, 12:30:00
Chicken Pasta Alfredo, 2, 16.99, 15:30:00
Classic Burger, 3, 12.99, 10:00:00
Classic Burger, 4, 11.69, 10:00:00
Classic Burger, 7, 10.39, 19:00:00
Fish and Chips, 4, 14.99, 14:00:00
Medium Bacon Pizza, 2, 13.59, 17:00:00
Medium Bacon Pizza, 9, 16.99, 18:30:00
Pico de Gallo, 25, 5.99, 19:00:00
Pico de Gallo, 17, 5.99, 14:00:00
Pico de Gallo, 16, 5.99, 12:30:00
Pico de Gallo, 15, 5.99, 11:30:00
Spanish Rice (side), 46, 3.99, 12:00:00
Spanish Rice (side), 32, 3.99, 12:30:00
Spanish Rice (side), 17, 3.99, 14:00:00
Spanish Rice (side), 25, 3.99, 15:30:00
Supreme Pizza - Large (16"), 3, 20.99, 15:30:00
