Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 6, 12.99, 18:00:00
Black Beans (side), 24, 3.99, 19:00:00
Cheese Pizza - Large (16"), 7, 16.99, 13:00:00
Cheese Pizza - Large (16"), 2, 16.99, 20:30:00
Cheese Pizza - Large (16"), 4, 13.59, 17:00:00
Cheese Pizza - Large (16"), 7, 16.99, 19:00:00
Chicken Burrito, 5, 10.99, 14:00:00
Chicken Burrito, 17, 9.34, 12:30:00
Chicken Burrito, 18, 10.99, 19:30:00
Chicken Burrito, 7, 10.99, 15:30:00
Chicken Burrito, 14, 10.99, 12:30:00
Chicken Pasta Alfredo, 7, 16.99, 12:30:00
Chicken Pasta Alfredo, 10, 16.99, 13:00:00
Fish and Chips, 2, 12.74, 20:30:00
Fish and Chips, 6, 14.99, 18:30:00
Fish and Chips, 11, 14.99, 13:00:00
Fish and Chips, 4, 14.99, 14:00:00
Fish and Chips, 3, 14.99, 14:00:00
Medium Bacon Pizza, 3, 13.59, 10:00:00
Pepperoni Pizza - Medium (14"), 2, 15.99, 15:30:00
Pepperoni Pizza - Medium (14"), 8, 15.99, 19:30:00
Pico de Gallo, 23, 5.99, 11:30:00
Pico de Gallo, 25, 5.99, 13:00:00
Pico de Gallo, 29, 5.99, 13:00:00
Pico de Gallo, 23, 5.39, 18:30:00
Spanish Rice (side), 19, 3.99, 11:30:00
Spanish Rice (side), 24, 3.99, 14:00:00
