Product, Quantity, Retail_Price, Time
Black Beans (side), 53, 3.99, 18:00:00
Cheese Pizza - Small (10"), 10, 9.99, 10:00:00
Cheese Pizza - Small (10"), 5, 9.99, 14:00:00
Cheese Pizza - Small (10"), 8, 9.99, 12:00:00
Chicken Pasta Alfredo, 7, 16.99, 19:00:00
Chicken Pasta Alfredo, 5, 15.29, 10:00:00
Classic Burger, 9, 12.99, 18:00:00
Classic Burger, 6, 12.99, 15:30:00
Classic Burger, 9, 12.99, 11:30:00
Classic Burger, 11, 12.99, 19:00:00
Fish and Chips, 12, 14.99, 12:30:00
Fish and Chips, 4, 14.99, 19:00:00
Fish and Chips, 5, 14.99, 17:00:00
Fish and Chips, 8, 14.99, 19:00:00
Fish and Chips, 4, 14.99, 19:00:00
Pepperoni Pizza - Medium (14"), 5, 15.99, 12:30:00
Pico de Gallo, 13, 5.99, 12:00:00
Pico de Gallo, 23, 5.99, 18:00:00
Pico de Gallo, 18, 5.99, 12:30:00
Pico de Gallo, 27, 5.99, 12:00:00
Pico de Gallo, 17, 5.39, 18:30:00
