Product, Quantity, Retail_Price, Time
Cheese Pizza - Medium (14"), 11, 13.99, 11:30:00
Cheese Pizza - Medium (14"), 14, 13.99, 13:00:00
Cheese Pizza - Medium (14"), 4, 13.99, 14:00:00
Cheese Pizza - Medium (14"), 7, 13.99, 15:30:00
Cheese Pizza - Medium (14"), 4, 12.59, 10:00:00
Cheese Pizza - Small (10"), 7, 9.99, 14:00:00
Cheese Pizza - Small (10"), 19, 9.99, 18:30:00
Cheese Pizza - Small (10"), 10, 9.99, 12:30:00
Chicken Burrito, 7, 10.99, 13:00:00
Chicken Burrito, 8, 10.99, 12:00:00
Chicken Pasta Alfredo, 8, 16.99, 12:30:00
Chicken Pasta Alfredo, 10, 16.99, 11:30:00
Chicken Pasta Alfredo, 2, 14.44, 15:30:00
Fish and Chips, 6, 14.99, 14:00:00
Fish and Chips, 9, 14.99, 19:30:00
Medium Bacon Pizza, 2, 16.99, 15:30:00
Spanish Rice (side), 26, 3.99, 15:30:00
Spanish Rice (side), 26, 3.99, 19:00:00
Spanish Rice (side), 15, 3.99, 14:00:00
Spanish Rice (side), 28, 3.99, 15:30:00
Supreme Pizza - Large (16"), 3, 20.99, 14:00:00
Supreme Pizza - Large (16"), 7, 16.79, 13:00:00
Supreme Pizza - Large (16"), 4, 20.99, 15:30:00
Supreme Pizza - Large (16"), 4, 20.99, 10:00:00
Supreme Pizza - Large (16"), 5, 18.89, 18:30:00
