Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 6, 12.99, 15:30:00
Beef Tacos (3-pack), 14, 12.99, 18:30:00
Beef Tacos (3-pack), 14, 10.39, 19:30:00
Beef Tacos (3-pack), 6, 12.99, 10:00:00
Cheese Pizza - Medium (14"), 8, 12.59, 18:30:00
Cheese Pizza - Medium (14"), 12, 13.99, 12:30:00
Cheese Pizza - Medium (14"), 6, 13.99, 13:00:00
Cheese Pizza - Medium (14"), 14, 13.99, 18:30:00
Cheese Pizza - Medium (14"), 3, 13.99, 15:30:00
Cheese Pizza - Small (10"), 20, 9.99, 11:30:00
Cheese Pizza - Small (10"), 11, 8.49, 17:00:00
Cheese Pizza - Small (10"), 10, 9.99, 10:00:00
Cheese Pizza - Small (10"), 7, 9.99, 18:00:00
Chicken Burrito, 6, 10.99, 10:00:00
Chicken Pasta Alfredo, 2, 16.99, 14:00:00
Chicken Pasta Alfredo, 8, 16.99, 19:00:00
Chicken Pasta Alfredo, 7, 16.99, 13:00:00
Chicken Pasta Alfredo, 7, 16.99, 11:30:00
Chicken Pasta Alfredo, 7, 16.99, 18:00:00
Classic Burger, 8, 11.69, 19:30:00
Fish and Chips, 7, 12.74, 13:00:00
Medium Bacon Pizza, 8, 16.99, 12:00:00
Medium Bacon Pizza, 5, 13.59, 12:30:00
Medium Bacon Pizza, 10, 16.99, 12:00:00
Medium Bacon Pizza, 2, 16.99, 10:00:00
Medium Bacon Pizza, 3, 16.99, 10:00:00
Pepperoni Pizza - Medium (14"), 6, 15.99, 10:00:00
Pepperoni Pizza - Medium (14"), 7, 15.99, 13:00:00
Spanish Rice (side), 34, 3.99, 19:00:00
Spanish Rice (side), 29, 3.99, 17:00:00
Spanish Rice (side), 17, 3.99, 10:00:00
Spanish Rice (side), 37, 3.99, 12:30:00
Spanish Rice (side), 22, 3.39, 17:00:00
Supreme Pizza - Large (16"), 4, 20.99, 17:00:00
Supreme Pizza - Large (16"), 6, 20.99, 12:30:00
Supreme Pizza - Large (16"), 7, 20.99, 18:00:00
Supreme Pizza - Large (16"), 6, 20.99, 12:00:00
