Product, Quantity, Retail_Price, Time
Black Beans (side), 44, 3.99, 13:00:00
Black Beans (side), 55, 3.99, 11:30:00
Cheese Pizza - Large (16"), 5, 16.99, 17:00:00
Cheese Pizza - Medium (14"), 10, 13.99, 20:30:00
Cheese Pizza - Medium (14"), 11, 13.99, 17:00:00
Cheese Pizza - Medium (14"), 14, 13.99, 12:00:00
Cheese Pizza - Medium (14"), 22, 12.59, 12:00:00
Cheese Pizza - Small (10"), 15, 9.99, 10:00:00
Cheese Pizza - Small (10"), 15, 9.99, 13:00:00
Cheese Pizza - Small (10"), 26, 8.49, 12:00:00
Cheese Pizza - Small (10"), 25, 9.99, 19:00:00
Chicken Pasta Alfredo, 7, 16.99, 19:30:00
Chicken Pasta Alfredo, 5, 16.99, 17:00:00
Chicken Pasta Alfredo, 7, 16.99, 12:00:00
Classic Burger, 10, 12.99, 10:00:00
Classic Burger, 12, 12.99, 20:30:00
Classic Burger, 20, 12.99, 18:00:00
Classic Burger, 5, 12.99, 20:30:00
Classic Burger, 9, 12.99, 12:30:00
Fish and Chips, 8, 14.99, 10:00:00
Fish and Chips, 9, 13.49, 15:30:00
Fish and Chips, 8, 14.99, 20:30:00
Fish and Chips, 16, 14.99, 12:00:00
Medium Bacon Pizza, 4, 15.29, 15:30:00
Medium Bacon Pizza, 15, 16.99, 11:30:00
Medium Bacon Pizza, 3, 16.99, 17:00:00
Medium Bacon Pizza, 12, 16.99, 18:30:00
Medium Bacon Pizza, 12, 16.99, 18:30:00
Pepperoni Pizza - Medium (14"), 4, 15.99, 14:00:00
Pico de Gallo, 20, 5.99, 14:00:00
Pico de Gallo, 20, 5.99, 15:30:00
Pico de Gallo, 22, 5.39, 10:00:00
Pico de Gallo, 25, 5.99, 12:30:00
Supreme Pizza - Large (16"), 3, 20.99, 14:00:00
Supreme Pizza - Large (16"), 3, 20.99, 15:30:00
Supreme Pizza - Large (16"), 2, 20.99, 15:30:00
Supreme Pizza - Large (16"), 10, 20.99, 12:30:00
