Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 6, 10.39, 13:00:00
Beef Tacos (3-pack), 14, 10.39, 19:00:00
Cheese Pizza - Large (16"), 7, 16.99, 13:00:00
Cheese Pizza - Large (16"), 3, 16.99, 20:30:00
Cheese Pizza - Large (16"), 8, 16.99, 19:00:00
Cheese Pizza - Large (16"), 8, 16.99, 12:30:00
Cheese Pizza - Large (16"), 6, 16.99, 18:30:00
Cheese Pizza - Small (10"), 11, 9.99, 18:00:00
Cheese Pizza - Small (10"), 15, 9.99, 12:00:00
Cheese Pizza - Small (10"), 14, 9.99, 19:30:00
Cheese Pizza - Small (10"), 14, 9.99, 19:00:00
Cheese Pizza - Small (10"), 9, 9.99, 12:00:00
Chicken Burrito, 10, 9.34, 17:00:00
Chicken Burrito, 17, 10.99, 18:00:00
Chicken Pasta Alfredo, 9, 16.99, 13:00:00
Chicken Pasta Alfredo, 7, 16.99, 19:00:00
Classic Burger, 13, 12.99, 19:00:00
Classic Burger, 7, 10.39, 12:30:00
Fish and Chips, 8, 14.99, 19:00:00
Fish and Chips, 5, 14.99, 10:00:00
Fish and Chips, 5, 14.99, 13:00:00
Medium Bacon Pizza, 3, 16.99, 15:30:00
Medium Bacon Pizza, 10, 16.99, 12:30:00
Medium Bacon Pizza, 4, 16.99, 17:00:00
Medium Bacon Pizza, 4, 16.99, 15:30:00
Pepperoni Pizza - Medium (14"), 2, 14.39, 15:30:00
Pepperoni Pizza - Medium (14"), 5, 12.79, 12:30:00
Pepperoni Pizza - Medium (14"), 5, 14.39, 10:00:00
Pico de Gallo, 16, 5.99, 20:30:00
Spanish Rice (side), 41, 3.99, 19:30:00
Supreme Pizza - Large (16"), 5, 20.99, 13:00:00
Supreme Pizza - Large (16"), 4, 20.99, 12:30:00
Supreme Pizza - Large (16"), 3, 20.99, 10:00:00
Supreme Pizza - Large (16"), 1, 20.99, 14:00:00
Supreme Pizza - Large (16"), 3, 20.99, 14:00:00
