Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 14, 12.99, 19:00:00
Beef Tacos (3-pack), 18, 11.69, 19:00:00
Beef Tacos (3-pack), 10, 12.99, 17:00:00
Beef Tacos (3-pack), 7, 12.99, 11:30:00
Beef Tacos (3-pack), 12, 12.99, 18:00:00
Cheese Pizza - Large (16"), 8, 16.99, 17:00:00
Cheese Pizza - Large (16"), 11, 15.29, 13:00:00
Cheese Pizza - Large (16"), 14, 16.99, 12:30:00
Cheese Pizza - Medium (14"), 9, 13.99, 12:30:00
Cheese Pizza - Small (10"), 22, 9.99, 13:00:00
Chicken Burrito, 22, 10.99, 13:00:00
Chicken Burrito, 12, 10.99, 10:00:00
Chicken Pasta Alfredo, 15, 16.99, 18:30:00
Chicken Pasta Alfredo, 8, 16.99, 17:00:00
Chicken Pasta Alfredo, 6, 16.99, 11:30:00
Chicken Pasta Alfredo, 15, 16.99, 11:30:00
Classic Burger, 21, 12.99, 13:00:00
Classic Burger, 11, 12.99, 12:00:00
Medium Bacon Pizza, 14, 16.99, 18:30:00
Medium Bacon Pizza, 7, 16.99, 19:30:00
Medium Bacon Pizza, 12, 16.99, 13:00:00
Pico de Gallo, 15, 5.99, 17:00:00
Pico de Gallo, 18, 5.99, 10:00:00
Pico de Gallo, 20, 5.99, 12:00:00
Pico de Gallo, 18, 5.99, 12:00:00
Spanish Rice (side), 81, 3.99, 13:00:00
Spanish Rice (side), 34, 3.99, 14:00:00
Spanish Rice (side), 72, 3.19, 12:00:00
Spanish Rice (side), 30, 3.19, 10:00:00
