Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 5, 12.99, 15:30:00
Beef Tacos (3-pack), 6, 12.99, 12:30:00
Black Beans (side), 18, 3.99, 17:00:00
Black Beans (side), 39, 3.99, 12:30:00
Cheese Pizza - Medium (14"), 11, 13.99, 11:30:00
Cheese Pizza - Medium (14"), 4, 13.99, 10:00:00
Classic Burger, 6, 12.99, 19:30:00
Classic Burger, 7, 12.99, 12:00:00
Fish and Chips, 5, 14.99, 10:00:00
Fish and Chips, 9, 14.99, 12:00:00
Fish and Chips, 9, 14.99, 18:30:00
Fish and Chips, 10, 14.99, 19:00:00
Fish and Chips, 5, 14.99, 10:00:00
Medium Bacon Pizza, 10, 16.99, 12:30:00
Medium Bacon Pizza, 8, 16.99, 13:00:00
Medium Bacon Pizza, 6, 16.99, 13:00:00
Medium Bacon Pizza, 5, 16.99, 20:30:00
Pepperoni Pizza - Medium (14"), 6, 15.99, 20:30:00
Pepperoni Pizza - Medium (14"), 11, 15.99, 18:30:00
Pico de Gallo, 27, 5.99, 12:30:00
Pico de Gallo, 19, 5.39, 12:00:00
Pico de Gallo, 8, 5.99, 10:00:00
Pico de Gallo, 21, 5.99, 18:30:00
Pico de Gallo, 12, 5.99, 10:00:00
Spanish Rice (side), 20, 3.99, 13:00:00
Supreme Pizza - Large (16"), 4, 18.89, 10:00:00
Supreme Pizza - Large (16"), 8, 16.79, 19:30:00
Supreme Pizza - Large (16"), 5, 20.99, 19:00:00
Supreme Pizza - Large (16"), 2, 20.99, 10:00:00
