Product, Quantity, Retail_Price, Time
Black Beans (side), 42, 3.99, 12:00:00
Black Beans (side), 13, 3.99, 20:30:00
Black Beans (side), 53, 3.99, 12:30:00
Black Beans (side), 28, 3.99, 12:00:00
Black Beans (side), 26, 3.99, 19:30:00
Cheese Pizza - Large (16"), 5, 16.99, 12:00:00
Cheese Pizza - Large (16"), 10, 15.29, 11:30:00
Cheese Pizza - Large (16"), 2, 16.99, 15:30:00
Cheese Pizza - Small (10"), 4, 9.99, 20:30:00
Cheese Pizza - Small (10"), 14, 9.99, 11:30:00
Chicken Pasta Alfredo, 4, 16.99, 15:30:00
Chicken Pasta Alfredo, 8, 16.99, 19:00:00
Classic Burger, 3, 12.99, 15:30:00
Classic Burger, 7, 12.99, 17:00:00
Classic Burger, 4, 12.99, 14:00:00
Fish and Chips, 12, 14.99, 12:30:00
Pepperoni Pizza - Medium (14"), 6, 15.99, 15:30:00
Pico de Gallo, 13, 5.99, 17:00:00
Pico de Gallo, 29, 5.99, 18:30:00
Pico de Gallo, 19, 4.79, 18:30:00
Pico de Gallo, 15, 5.39, 10:00:00
Spanish Rice (side), 35, 3.99, 13:00:00
