Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 3, 12.99, 10:00:00
Beef Tacos (3-pack), 12, 12.99, 18:00:00
Beef Tacos (3-pack), 12, 12.99, 19:30:00
Beef Tacos (3-pack), 5, 12.99, 18:00:00
Black Beans (side), 53, 3.99, 19:30:00
Cheese Pizza - Large (16"), 5, 14.44, 10:00:00
Cheese Pizza - Large (16"), 10, 16.99, 13:00:00
Cheese Pizza - Small (10"), 5, 9.99, 17:00:00
Cheese Pizza - Small (10"), 12, 9.99, 11:30:00
Cheese Pizza - Small (10"), 21, 7.99, 19:30:00
Chicken Burrito, 6, 9.89, 18:30:00
Chicken Burrito, 7, 10.99, 20:30:00
Chicken Burrito, 10, 10.99, 15:30:00
Chicken Burrito, 20, 10.99, 19:30:00
Chicken Pasta Alfredo, 10, 16.99, 18:00:00
Medium Bacon Pizza, 10, 16.99, 19:30:00
Medium Bacon Pizza, 4, 16.99, 12:00:00
Medium Bacon Pizza, 10, 16.99, 12:00:00
Medium Bacon Pizza, 10, 15.29, 19:00:00
Medium Bacon Pizza, 5, 16.99, 13:00:00
Pico de Gallo, 22, 5.99, 18:00:00
Pico de Gallo, 11, 5.99, 17:00:00
Pico de Gallo, 35, 5.99, 18:00:00
Pico de Gallo, 22, 5.99, 12:00:00
Supreme Pizza - Large (16"), 3, 20.99, 10:00:00
Supreme Pizza - Large (16"), 4, 16.79, 17:00:00
Supreme Pizza - Large (16"), 1, 20.99, 10:00:00
