Product, Quantity, Retail_Price, Time
Black Beans (side), 21, 3.99, 15:30:00
Cheese Pizza - Large (16"), 9, 13.59, 11:30:00
Cheese Pizza - Large (16"), 6, 16.99, 18:30:00
Cheese Pizza - Large (16"), 5, 16.99, 17:00:00
Cheese Pizza - Large (16"), 3, 16.99, 17:00:00
Cheese Pizza - Medium (14"), 5, 13.99, 15:30:00
Cheese Pizza - Medium (14"), 6, 13.99, 12:30:00
Cheese Pizza - Medium (14"), 10, 13.99, 18:00:00
Cheese Pizza - Medium (14"), 10, 13.99, 12:00:00
Cheese Pizza - Small (10"), 20, 9.99, 18:00:00
Cheese Pizza - Small (10"), 11, 9.99, 10:00:00
Cheese Pizza - Small (10"), 20, 9.99, 19:30:00
Chicken Pasta Alfredo, 3, 13.59, 10:00:00
Chicken Pasta Alfredo, 5, 16.99, 19:00:00
Chicken Pasta Alfredo, 11, 16.99, 13:00:00
Chicken Pasta Alfredo, 3, 13.59, 19:30:00
Chicken Pasta Alfredo, 5, 16.99, 20:30:00
Classic Burger, 15, 12.99, 12:30:00
Classic Burger, 12, 12.99, 19:30:00
Classic Burger, 14, 11.69, 11:30:00
Classic Burger, 4, 12.99, 20:30:00
Medium Bacon Pizza, 8, 16.99, 18:30:00
Pepperoni Pizza - Medium (14"), 4, 15.99, 20:30:00
Pepperoni Pizza - Medium (14"), 10, 15.99, 13:00:00
Pepperoni Pizza - Medium (14"), 5, 15.99, 20:30:00
Pepperoni Pizza - Medium (14"), 12, 15.99, 19:30:00
Spanish Rice (side), 34, 3.99, 19:00:00
Spanish Rice (side), 44, 3.99, 18:00:00
Spanish Rice (side), 42, 3.99, 18:00:00
Spanish Rice (side), 55, 3.19, 19:30:00
Supreme Pizza - Large (16"), 4, 20.99, 20:30:00
Supreme Pizza - Large (16"), 7, 20.99, 12:00:00
Supreme Pizza - Large (16"), 4, 20.99, 13:00:00
Supreme Pizza - Large (16"), 3, 17.84, 17:00:00
Supreme Pizza - Large (16"), 1, 18.89, 20:30:00
