Product, Quantity, Retail_Price, Time
Black Beans (side), 54, 3.99, 13:00:00
Black Beans (side), 24, 3.99, 12:30:00
Cheese Pizza - Large (16"), 8, 16.99, 11:30:00
Cheese Pizza - Large (16"), 2, 16.99, 17:00:00
Cheese Pizza - Small (10"), 18, 9.99, 19:30:00
Cheese Pizza - Small (10"), 20, 9.99, 19:00:00
Chicken Burrito, 9, 9.34, 19:30:00
Chicken Burrito, 18, 10.99, 11:30:00
Chicken Pasta Alfredo, 5, 16.99, 19:00:00
Chicken Pasta Alfredo, 3, 16.99, 20:30:00
Chicken Pasta Alfredo, 6, 16.99, 11:30:00
Chicken Pasta Alfredo, 6, 16.99, 18:00:00
Chicken Pasta Alfredo, 5, 16.99, 20:30:00
Classic Burger, 6, 12.99, 17:00:00
Classic Burger, 11, 12.99, 12:30:00
Classic Burger, 4, 12.99, 17:00:00
Classic Burger, 4, 12.99, 17:00:00
Fish and Chips, 13, 14.99, 12:30:00
Fish and Chips, 4, 12.74, 12:00:00
Medium Bacon Pizza, 9, 16.99, 12:00:00
Medium Bacon Pizza, 9, 16.99, 19:00:00
Medium Bacon Pizza, 5, 16.99, 20:30:00
Pepperoni Pizza - Medium (14"), 11, 15.99, 12:00:00
Pico de Gallo, 16, 4.79, 12:30:00
Pico de Gallo, 8, 5.99, 14:00:00
Pico de Gallo, 34, 4.79, 11:30:00
Pico de Gallo, 7, 5.99, 14:00:00
Spanish Rice (side), 55, 3.99, 12:30:00
Spanish Rice (side), 10, 3.39, 17:00:00
Spanish Rice (side), 47, 3.99, 19:30:00
Spanish Rice (side), 54, 3.99, 11:30:00
Supreme Pizza - Large (16"), 8, 20.99, 12:00:00
Supreme Pizza - Large (16"), 3, 20.99, 12:00:00
Supreme Pizza - Large (16"), 7, 20.99, 13:00:00
Supreme Pizza - Large (16"), 1, 20.99, 14:00:00
Supreme Pizza - Large (16"), 4, 20.99, 15:30:00
