Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 12, 11.04, 19:30:00
Cheese Pizza - Medium (14"), 13, 13.99, 13:00:00
Cheese Pizza - Medium (14"), 12, 13.99, 19:30:00
Cheese Pizza - Medium (14"), 11, 13.99, 19:00:00
Cheese Pizza - Medium (14"), 7, 13.99, 18:30:00
Chicken Pasta Alfredo, 7, 16.99, 12:00:00
Chicken Pasta Alfredo, 5, 16.99, 12:30:00
Chicken Pasta Alfredo, 2, 16.99, 15:30:00
Chicken Pasta Alfredo, 2, 16.99, 15:30:00
Classic Burger, 6, 12.99, 20:30:00
Classic Burger, 7, 12.99, 12:00:00
Classic Burger, 5, 12.99, 18:00:00
Fish and Chips, 6, 14.99, 14:00:00
Fish and Chips, 6, 14.99, 14:00:00
Pico de Gallo, 18, 5.99, 18:00:00
Spanish Rice (side), 12, 3.99, 17:00:00
Spanish Rice (side), 41, 3.99, 18:30:00
Spanish Rice (side), 23, 3.99, 17:00:00
Spanish Rice (side), 22, 3.99, 14:00:00
Spanish Rice (side), 51, 3.99, 12:30:00
Supreme Pizza - Large (16"), 3, 20.99, 14:00:00
Supreme Pizza - Large (16"), 2, 20.99, 20:30:00
Supreme Pizza - Large (16"), 2, 18.89, 15:30:00
