Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 15, 12.99, 19:30:00
Beef Tacos (3-pack), 9, 12.99, 11:30:00
Beef Tacos (3-pack), 6, 10.39, 17:00:00
Cheese Pizza - Large (16"), 2, 16.99, 17:00:00
Cheese Pizza - Large (16"), 10, 16.99, 12:30:00
Cheese Pizza - Large (16"), 5, 16.99, 19:30:00
Cheese Pizza - Large (16"), 10, 16.99, 18:30:00
Cheese Pizza - Medium (14"), 3, 13.99, 15:30:00
Cheese Pizza - Medium (14"), 4, 11.19, 17:00:00
Cheese Pizza - Medium (14"), 4, 13.99, 17:00:00
Chicken Burrito, 4, 10.99, 15:30:00
Chicken Burrito, 10, 9.89, 19:00:00
Chicken Burrito, 13, 10.99, 18:30:00
Chicken Burrito, 8, 10.99, 20:30:00
Chicken Burrito, 9, 10.99, 14:00:00
Classic Burger, 6, 12.99, 10:00:00
Classic Burger, 8, 12.99, 13:00:00
Fish and Chips, 10, 14.99, 12:00:00
Fish and Chips, 10, 14.99, 19:00:00
Fish and Chips, 9, 14.99, 19:00:00
Fish and Chips, 11, 14.99, 11:30:00
Fish and Chips, 8, 14.99, 13:00:00
Pepperoni Pizza - Medium (14"), 7, 15.99, 19:00:00
Pepperoni Pizza - Medium (14"), 5, 15.99, 10:00:00
Spanish Rice (side), 10, 3.99, 10:00:00
Spanish Rice (side), 23, 3.99, 13:00:00
Spanish Rice (side), 22, 3.59, 14:00:00
Spanish Rice (side), 19, 3.99, 18:30:00
Spanish Rice (side), 29, 3.99, 20:30:00
