Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 8, 12.99, 12:30:00
Beef Tacos (3-pack), 12, 12.99, 13:00:00
Cheese Pizza - Small (10"), 14, 7.99, 12:00:00
Cheese Pizza - Small (10"), 13, 9.99, 12:30:00
Cheese Pizza - Small (10"), 9, 9.99, 17:00:00
Chicken Burrito, 14, 10.99, 12:00:00
Chicken Burrito, 20, 10.99, 19:00:00
Chicken Burrito, 9, 10.99, 17:00:00
Chicken Burrito, 6, 10.99, 14:00:00
Classic Burger, 6, 12.99, 10:00:00
Classic Burger, 14, 12.99, 19:30:00
Fish and Chips, 3, 11.99, 15:30:00
Fish and Chips, 9, 14.99, 19:30:00
Fish and Chips, 7, 14.99, 11:30:00
Medium Bacon Pizza, 6, 16.99, 18:30:00
Medium Bacon Pizza, 4, 16.99, 10:00:00
Pepperoni Pizza - Medium (14"), 10, 15.99, 13:00:00
Pepperoni Pizza - Medium (14"), 4, 13.59, 15:30:00
Pico de Gallo, 26, 4.79, 19:30:00
Pico de Gallo, 21, 5.99, 12:30:00
Pico de Gallo, 6, 5.99, 14:00:00
Pico de Gallo, 13, 5.99, 15:30:00
Pico de Gallo, 14, 5.99, 18:30:00
Spanish Rice (side), 28, 3.99, 19:00:00
Spanish Rice (side), 18, 3.99, 10:00:00
Supreme Pizza - Large (16"), 3, 20.99, 20:30:00
Supreme Pizza - Large (16"), 1, 20.99, 17:00:00
