Product, Quantity, Retail_Price, Time
Beef Tacos (3-pack), 8, 12.99, 19:30:00
Beef Tacos (3-pack), 16, 12.99, 19:30:00
Beef Tacos (3-pack), 8, 12.99, 12:00:00
Cheese Pizza - Small (10"), 12, 9.99, 17:00:00
Cheese Pizza - Small (10"), 24, 9.99, 19:30:00
Cheese Pizza - Small (10"), 28, 9.99, 12:30:00
Cheese Pizza - Small (10"), 11, 9.99, 19:30:00
Chicken Burrito, 10, 10.99, 15:30:00
Chicken Burrito, 27, 10.99, 13:00:00
Chicken Burrito, 14, 10.99, 19:00:00
Chicken Burrito, 15, 10.99, 19:30:00
Chicken Pasta Alfredo, 12, 15.29, 19:00:00
Chicken Pasta Alfredo, 7, 16.99, 17:00:00
Medium Bacon Pizza, 14, 15.29, 18:30:00
Medium Bacon Pizza, 10, 13.59, 11:30:00
Medium Bacon Pizza, 16, 16.99, 19:00:00
Medium Bacon Pizza, 14, 16.99, 19:30:00
Pepperoni Pizza - Medium (14"), 9, 15.99, 10:00:00
Pepperoni Pizza - Medium (14"), 5, 12.79, 14:00:00
Pepperoni Pizza - Medium (14"), 15, 15.99, 19:30:00
Pico de Gallo, 13, 5.39, 17:00:00
Pico de Gallo, 26, 5.99, 10:00:00
Pico de Gallo, 24, 5.99, 12:00:00
Pico de Gallo, 36, 5.99, 18:00:00
Spanish Rice (side), 31, 3.99, 15:30:00
Spanish Rice (side), 18, 3.99, 10:00:00
Spanish Rice (side), 36, 3.99, 17:00:00
Spanish Rice (side), 27, 3.99, 15:30:00
Supreme Pizza - Large (16"), 8, 20.99, 11:30:00
Supreme Pizza - Large (16"), 7, 16.79, 13:00:00
Supreme Pizza - Large (16"), 5, 18.89, 19:30:00
